"GENE_NAME","CHROMOSOME","UNIPROT_ACC","GO_MOLECULAR_FUNCTION","REACTOME_ID","KEGG_ID","INTERPRO_ID","PFAM_ID","INTACT_ID","BIOGRID_ID","CONSENSUSPATH_ID","GDI","P_HI","P_REC","ESSENTIAL_GENE","GENATLAS_TISSUE","lastmodified"
"PSMB4","1","P28070","lipopolysaccharide binding ; threonine-type endopeptidase activity","R-HSA-1169091;R-HSA-1234176;R-HSA-1236974;R-HSA-1236978;R-HSA-174084;R-HSA-174113;R-HSA-174154;R-HSA-174178;R-HSA-174184;R-HSA-180534;R-HSA-180585;R-HSA-187577;R-HSA-195253;R-HSA-202424;R-HSA-211733;R-HSA-2467813;R-HSA-2871837;R-HSA-349425;R-HSA-350562;R-HSA-382556;R-HSA-446652;R-HSA-450408;R-HSA-4608870;R-HSA-4641257;R-HSA-4641258;R-HSA-5358346;R-HSA-5362768;R-HSA-5607761;R-HSA-5607764;R-HSA-5610780;R-HSA-5610783;R-HSA-5610785;R-HSA-5632684;R-HSA-5658442;R-HSA-5668541;R-HSA-5676590;R-HSA-5678895;R-HSA-5687128;R-HSA-5689603;R-HSA-5689880;R-HSA-68827;R-HSA-68949;R-HSA-69017;R-HSA-69229;R-HSA-69481;R-HSA-69601;R-HSA-8852276;R-HSA-8854050;R-HSA-8941858;R-HSA-8951664;R-HSA-983168;","hsa03050","IPR029055;IPR016050;IPR016295;IPR001353;IPR023333;","PF00227;","PRKCA;HLA-C;FOXJ3;SMAD1;HLA-B;FOXP3;PSMA7;PSMB5;PSMA2;FSD2;SLX4;IKBKE;PSMA1;NME2;PSMB7;PSMA6;JUN;MTMR10;PSMA3;UCHL5;POMP;H2AFX;TRAF6;MYC;","RPP38;U2AF2;YBX1;AKT1;APP;BAG3;PSMD1;PSMD2;PSMD3;H2AFX;PSMD4;SULT1A4;PSMD5;PSMD6;MYC;PSMD7;CUL1;PSMD8;PSMD9;PRKCA;KIF5B;HNRNPA2B1;CFTR;HERC2;PSMA2;ADRM1;PSMA1;EPB41L1;PSME1;PSMA6;CLIC4;PSME2;PSMA5;PSMA4;PSMA3;DDB2;UCHL5;UBD;PSME3;PSME4;AMFR;CPSF2;IQCB1;PSMB10;USP7;SYVN1;USP9X;RAD23A;SHFM1;PSMA7;PSMA8;PSMB5;PRPF19;PSMF1;SLX4;PSMB7;OAZ1;PSMB6;PEX19;PSMB1;PPL;SYAP1;PSMB3;PSMB2;FBXO7;EEF1A1;NUB1;PARK2;SMAD1;HNRNPA1;PSMB8;PSMB9;PCK1;PSMG3;FSD2;PSMC6;PSMD14;PSMG2;CRBN;PSMC5;PSMD13;PSMC4;PSMD12;PSMC3;PSMD11;UBA2;PSMC2;PSMC1;POMP;NELFE;","PSMA7;PSMA3;PSMB3;PSMA2;PSMA1;PSMA5;PSMB2;PSMA4;PSMB1;PSMB6;PSMA6;PSMB5;PSMB7;FSD2;PSMA7;PSMA3;PSMB3;PSMA2;PSMA1;PSMA5;PSMB2;PSMB6;PSMA4;PSMA6;POMP;PSMA3;HLA-B;SMAD1;PSMB1;PSMA4;PSMD11;PSMD3;PSMA6;PSMC4;PSMD8;PSMB2;PSMA5;PSMD10;PSMC1;PSMA1;USP14;PSMD14;PSMD13;PSMD7;PSMD12;PSMA2;PSMC5;PSMC6;ADRM1;PSMD2;PSMC3;PSMB3;UCHL5;PSMA7;PSMA3;PSMD6;PSMB7;PSMC2;PSMD4;PSMA7;PSMA3;PSMB3;PSMA2;PSMA1;PSMB2;PSMA5;PSMB1;PSMA4;PSMB6;PSMA6;PSMB5;POMP;PSMB7;PSMA2;PSMB8;PSMB7;PSMA3;PSMB3;PSMB6;PSMA4;PSMB1;PSMB9;PSMA6;PSMB10;PSMA1;PSMA5;PSMB2;ADRM1;PSMD2;PSMB3;UCHL5;PSMA7;PSMA3;PSMD6;PSMB7;PSMD7;PSMD12;PSMD1;PSMA2;PSMC5;PSMC6;PSMD8;PSMB2;PSMA5;PSMC1;PSMA1;PSMD14;PSMD13;PSMC2;PSMD4;PSMB5;PSMB1;PSMA4;PSMB6;PSMD11;PSMD3;PSMA6;PSMC4;PSMC3;HLA-C;PSMA5;PSMB2;PSMA6;PSMA4;PSMB1;PSMB6;PSMB5;PSMA3;PSMB7;PSMB3;PSMA2;PSMA1;SLX1A;TERF2IP;EME1;ERCC1;MSH3;PLK1;MSH2;SLX4IP;DCAF10;TSPYL1;NUP50;SLX4;ERCC4;MUS81;NUP188;TERF2;PGAM5;GID8;TEX10;KPNA1;PNMA2;LRRC1;GLTSCR2;MTMR10;INO80;PSMB5;PSMB6;PSMD11;PSMB1;PSMA4;PSMC4;INO80E;PSMD3;PSMA6;PSMB2;PSMA5;PSMD8;RUVBL2;PSMC1;PSMA1;TFPT;ACTR8;ACTR5;INO80C;PSMD13;PSMD14;PSMD7;PSMD12;INO80B;PSMD1;INO80D;MCRS1;YY1;PSMA2;PSMC6;PSMC5;PSMD2;RUVBL1;ADRM1;ACTL6A;PSMC3;PSMA7;UCHL5;PSMA3;PSMD6;PSMC2;NFRKB;PSMD4;NME2;POMP;PSMB7;PSMB5;TRAF6;IKBKE;PRKCA;PSMA1;PSMB2;PSMA5;PSMB9;PSMA6;PSMB6;PSMB1;PSMA4;PSMB10;PSMB7;PSMA3;PSMA7;PSMB3;PSMA2;PSMB8;PLK1;PSMA3;PSMB7;PSMA7;PSMA2;PSMA5;PSMB2;PSMA1;PSMB5;PSMA4;PSMB1;PSMB6;PSMB3;PSMB5;PSMB9;PSMA6;PSMB1;PSMA4;PSMB6;PSMB2;PSMA5;PSMA1;PSMB8;PSMA2;PSMB3;PSMA3;PSMB7;PSMA7;PSMA1;PSMB5;PSMA6;PSMB6;PSMB1;PSMA4;PSMB3;PSMB7;PSMA3;PSMA7;PSME3;PSMA2;PSMB2;PSMA5;PSMA7;PSMD6;PSMA3;PSMD2;PSMB3;PSMC3;PSMA2;PSMC6;PSMC5;PSMD9;PSMD12;PSMD7;PSMD1;PSMA1;PSMD13;PSMD14;PSMA5;PSMB2;PSME1;PSMD8;PSMC1;PSMD10;PSME2;PSMD11;PSMB6;PSMA4;PSMB1;PSMD5;PSMC4;PSMA6;PSMD3;PSMC2;PSMB5;PSMD4;PSMB7;PSMB5;PSMB1;PSMA4;PSMB6;PSMA6;PSME1;PSMB2;PSMA5;PSME2;PSMA1;PSMA2;PSMB3;PSMA7;PSMA3;PSMB7;PSMC3;PSMA3;PSMB7;PSMA7;PSMC5;PSMC6;PSMA2;PSMC1;PSMA5;PSMB2;PSMD13;PSMA1;PSMD4;PSMB5;PSMC2;PSMA6;PSMC4;PSMA4;PSMB1;PSMB6;PSMB3;SLX4;OAZ1;H2AFX;MYC;PSMA2;PCK1;RAD23A;SHFM1;PSMA4;PRPF19;NUB1;UBD;PSMC5;USP7;CUL1;UCHL5;PSMB3;PSMB8;PSMB10;CRBN;AKT1;APP;PSMA1;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB6;PSMC3;PSMD7;PSMD1;PSMD2;PSMD3;PSMD8;PSMD4;PSMD6;PSMD14;PSMD13;PSMD11;PSME3;PSMD12;PSMC2;PSMD5;PSMA8;EEF1A1;USP9X;SYAP1;YBX1;IQCB1;CFTR;PARK2;BAG3;HNRNPA2B1;DDB2;EPB41L1;KIF5B;RPP38;PSMG3;PSMD9;HNRNPA1;AMFR;SYVN1;PSME4;PSME1;FBXO7;PSMG2;PSME2;PSMF1;PSMB9;PLSCR1","1699.47","0.87","0.3",NULL,"thalamus;smooth muscle;heart;cerebellum peduncles;globus pallidus;parietal lobe;cerebellum;","2017-06-22 00:00:00"
"PSMB8","6","P28062","threonine-type endopeptidase activity","R-HSA-1169091;R-HSA-1234176;R-HSA-1236974;R-HSA-1236978;R-HSA-174084;R-HSA-174113;R-HSA-174154;R-HSA-174178;R-HSA-174184;R-HSA-180534;R-HSA-180585;R-HSA-187577;R-HSA-195253;R-HSA-202424;R-HSA-211733;R-HSA-2467813;R-HSA-2871837;R-HSA-349425;R-HSA-350562;R-HSA-382556;R-HSA-446652;R-HSA-450408;R-HSA-4608870;R-HSA-4641257;R-HSA-4641258;R-HSA-5358346;R-HSA-5362768;R-HSA-5607761;R-HSA-5607764;R-HSA-5610780;R-HSA-5610783;R-HSA-5610785;R-HSA-5632684;R-HSA-5658442;R-HSA-5668541;R-HSA-5676590;R-HSA-5678895;R-HSA-5687128;R-HSA-5689603;R-HSA-5689880;R-HSA-68827;R-HSA-68949;R-HSA-69017;R-HSA-69229;R-HSA-69481;R-HSA-69601;R-HSA-8852276;R-HSA-8854050;R-HSA-8941858;R-HSA-8951664;R-HSA-909733;R-HSA-983168;",NULL,"IPR029055;IPR000243;IPR016050;IPR001353;IPR023333;","PF00227;","PSMA2;PSMB7;PSMB1;TAP2;TAP1;LSM1;PSMB9;","RPP38;CCT2;DHX38;PSMD1;PSMD2;PSMD3;PSMD4;PSMD5;PSMD6;LSM1;HADH;PSMD7;PSMD8;ACTN4;ELP6;PSMA2;EIF4G1;PSMA1;ADRM1;PSME1;PSMA6;MRPS9;PSMA5;PSME2;PSMA4;PSMA3;UCHL5;PSMB10;USP7;USP9X;PSMA7;GCN1L1;PSMA8;PSMB5;PSMB4;HNRNPM;PSMB7;PSMB6;PSMB1;TAP2;PSMB3;PSMB2;TAP1;ABCB1;HEATR1;PSMB8;PSMB9;PSMD14;PSMC6;PSMD13;PSMC5;PSMD12;PSMC4;PSMD11;PSMC3;PSMC2;PSMC1;IKBKG;POMP;","PSMB10;PSMB5;PSMA4;PSMB1;PSMB9;PSMB7;PSMB2;PSMB7;PSMB2;PSMA4;PSMB1;PSMB9;PSMB5;PSMB7;PSMB2;PSMB5;PSMB1;PSMA4;PSMA2;PSMB7;PSMA3;PSMB3;PSMB6;PSMA4;PSMB1;PSMB4;PSMB9;PSMA6;PSMB10;PSMA1;PSMA5;PSMB2;TAP2;LSM1;TAP1;PSMA1;PSMB2;PSMA5;PSMB4;PSMB9;PSMA6;PSMB6;PSMB1;PSMA4;PSMB10;PSMB7;PSMA3;PSMA7;PSMB3;PSMA2;PSMB5;PSMB9;PSMA6;PSMB4;PSMB1;PSMA4;PSMB6;PSMB2;PSMA5;PSMA1;PSMA2;PSMB3;PSMA3;PSMB7;PSMA7;PSMA4;PSMA2;PSMB1;PSMB9;POMP;PSMA1;USP7;ABCB1;PSMB4;PSMB3;PSMB6;PSMB7;PSMB10;PSMA6;PSME1;PSME2;PSMA5;PSMB5;PSMA3;PSMB2;PSMA7;PSMA8;PSMC5;PSMC1;PSMC2;PSMD8;PSMC4;PSMC3;USP9X;HNRNPM;CCT2;DHX38;EIF4G1;IKBKG;RPP38;ACTN2","1719.53","0.41",NULL,"N",NULL,"2017-06-22 00:00:00"
"PSMB9","6","P28065","threonine-type endopeptidase activity","R-HSA-1169091;R-HSA-1234176;R-HSA-1236974;R-HSA-1236978;R-HSA-174084;R-HSA-174113;R-HSA-174154;R-HSA-174178;R-HSA-174184;R-HSA-180534;R-HSA-180585;R-HSA-187577;R-HSA-195253;R-HSA-202424;R-HSA-211733;R-HSA-2467813;R-HSA-2871837;R-HSA-349425;R-HSA-350562;R-HSA-382556;R-HSA-446652;R-HSA-450408;R-HSA-4608870;R-HSA-4641257;R-HSA-4641258;R-HSA-5358346;R-HSA-5362768;R-HSA-5607761;R-HSA-5607764;R-HSA-5610780;R-HSA-5610783;R-HSA-5610785;R-HSA-5632684;R-HSA-5658442;R-HSA-5668541;R-HSA-5676590;R-HSA-5678895;R-HSA-5687128;R-HSA-5689603;R-HSA-5689880;R-HSA-68827;R-HSA-68949;R-HSA-69017;R-HSA-69229;R-HSA-69481;R-HSA-69601;R-HSA-8852276;R-HSA-8854050;R-HSA-8941858;R-HSA-8951664;R-HSA-983168;",NULL,"IPR029055;IPR000243;IPR016050;IPR001353;IPR023333;","PF00227;","PSMA2;NCOA1;PSMB7;NCOA3;GRIP1;TAP2;TAP1;ESR1;POMP;ABCB5;PSMB8;","OSER1;RNF181;PSMD1;PSMD2;PSMD3;PSMD4;PSMD5;PSMD6;PSMD7;USP15;PSMD8;SEMG1;FAM192A;ESR1;PSMA2;PSMA1;CKM;NCOA2;NCOA3;PSME1;PSMA6;PSMA5;PSME2;PSMA4;PSMA3;UCHL5;PSME3;PSME4;PSMB10;POLR2H;POLR2G;POLR2F;POLR2E;POLR2L;POLR2K;POLR2J;POLR2I;POLR2D;PSMA7;POLR2C;PSMA8;POLR2B;SRC;POLR2A;PSMB5;PSMF1;PSMB4;PSMB7;PSMB6;PSMB1;PSMB3;PSMB2;FBXO7;PSMB8;PSMB9;PSMG3;PSMG4;PSMG1;PSMD14;PSMC6;PSMC5;PSMG2;PSMD13;PSMD12;PSMC4;PSMD11;PSMC3;PSMC2;PSMC1;POMP;TCEB3;","PSMB10;PSMB5;PSMA4;PSMB1;PSMB7;PSMB8;PSMB2;NCOA1;GRIP1;PSMB7;PSMB8;PSMB2;PSMA4;PSMB1;PSMB5;PSMA2;PSMB8;PSMB7;PSMA3;PSMB3;PSMB6;PSMA4;PSMB1;PSMB4;PSMA6;PSMB10;PSMA1;PSMA5;PSMB2;TAP2;ABCB5;TAP1;PSMB7;NCOA3;POMP;ESR1;PSMA1;PSMB2;PSMA5;PSMB4;PSMA6;PSMB6;PSMB1;PSMA4;PSMB10;PSMB7;PSMA3;PSMA7;PSMB3;PSMA2;PSMB8;NCOA2;PSMB10;PSMB5;PSMA6;PSMB4;PSMB1;PSMA4;PSMB6;PSMB2;PSMA5;PSMA1;PSMB8;PSMA2;PSMB3;PSMA3;PSMB7;PSMA7;PSMA4;SRC;PSMC5;POLR2A;PSMA2;PSMB5;PSMA7;PSMB8;PSMA1;PSMA3;PSMB6;PSME1;PSME2;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2L;POLR2J;POLR2K;TCEB3;PSMB4;PSMG2;PSMD1;PSMD13;USP15;PSMB1;PSMA6;PSMD3;PSME4;PSMA8;PSMD11;PSMC6;PSMC3;PSMB2;PSMC4;PSMD2;OSER1;PSMD14;PSMC2;SEMG1;PSMD8;PSMD7;PSMD12;PSMD6;PSMA5;UCHL5;PSME3;CKM;PSMB3;PSMG1;FAM192A;PSMD4;PSMG3;RNF181;PSMF1;FBXO7;PSMG4;LGALS3BP;ITCH","1708.24","0.68",NULL,"N",NULL,"2017-06-22 00:00:00"
"PYGM","11","P11217","glycogen phosphorylase activity ; nucleotide binding ; pyridoxal phosphate binding","R-HSA-70221;","hsa00500;hsa04910","IPR011833;IPR000811;","PF00343;","FAM110A;AGTPBP1;PRKAB2;LMNA;ARID1B;TTN;WDYHV1;TRIM55;TRIM54;PPP1R3B;SGCG;MAP3K3;PACSIN3;INPP5K;INTS4;WWP1;IGBP1;GBAS;POMP;PDE4DIP;SRP72;CLASP2;TRAPPC2;DEGS1;CDC42BPB;DNM2;","TOP1;GBE1;PACSIN3;PPP2CA;PRKAB2;TRIM63;WDYHV1;S100A1;DEGS1;","PPP1R3B;WDYHV1;INTS4;FAM110A;PACSIN3;CDC42BPB;GBAS;LMNA;PRKAB2;POMP;SRP72;AGTPBP1;INPP5K;IGBP1;TTN;CLASP2;WWP1;DEGS1;TRIM54;ARID1B;SGCG;PDE4DIP;TRIM55;MAP3K3;DNM2;S100A1;TRIM63;TOP1;PPP2CA;PHKG1;PHKG2","839.08","0.51","0.13",NULL,"tongue;thyroid;skeletal muscle;","2017-06-22 00:00:00"
"RAB27A","15","P51159","GDP binding ; GTPase activity ; GTP binding ; myosin V binding ; protein domain specific binding","R-HSA-264876;R-HSA-6798695;R-HSA-8873719;R-HSA-8876198;",NULL,"IPR027417;IPR005225;IPR001806;","PF00071;","C14orf1;EEF1A1;RIF1;MLPH;CEP126;COPS6;GDF9;ZBTB16;RBM48;","MYO5A;C14orf1;EEF1A1;LRIF1;COPS6;MLPH;EXPH5;RPH3AL;ZBTB16;ADRB2;APP;MYRIP;UNC13D;FBXO6;SYTL4;SYTL5;GDF9;SYTL2;RBM48;SYTL3;UNC13B;SYTL1;KIAA1377;","SYTL1;MLPH;EEF1A1;CEP126;COPS6;RIF1;GDF9;RBM48;ZBTB16;C14orf1;LRIF1;MYO5A;RABGGTB;RIMS2;RPH3A;GDI1;UNC13D;RIMS1;MYO5A;MLPH;MYRIP;SYTL2;SYTL3;STX1A;GZMB;EXPH5;RPH3AL;SYTL5;SYTL4;APP;FBXO6;ADRB2;UNC13B;CCR5;TRIM24","38.09","0.72","0.39","N","superior cervical ganglion;prostate;white blood cells;atrioventricular node;whole blood;trigeminal ganglion;skeletal muscle;pituitary;bone marrow;","2017-06-22 00:00:00"
"RBM20","10","Q5T481","RNA binding ; zinc ion binding",,NULL,"IPR000690;IPR003604;IPR034791;IPR034790;IPR000504;",,"B9D2;","B9D2;",NULL,"689.39","0.36",NULL,NULL,NULL,"2017-06-22 00:00:00"
"REC8","14","O95072","chromatin binding","R-HSA-1221632;",NULL,"IPR006909;IPR006910;IPR011991;","PF04824;PF04825;","CACYBP;BAG2;PSMD2;STIP1;AARSD1;STUB1;SGTA;MLF1;","SYCP3;SMC3;SMC1B;","CACYBP;PSMD2;STIP1;MLF1;BAG2;STUB1;AARSD1;SGTA;SMC3;SYCP3;SMC1B;SMC1A;SMC3;SYCP3","56.78","0.08","0.09","E","superior cervical ganglion;testis - interstitial;","2017-06-22 00:00:00"
"RET","10","P07949","ATP binding ; calcium ion binding ; protein tyrosine kinase activity ; Ras guanyl-nucleotide exchange factor activity ; receptor activity ; transmembrane receptor protein tyrosine kinase activity","R-HSA-5673001;R-HSA-8853659;","hsa05216","IPR002126;IPR015919;IPR011009;IPR000719;IPR017441;IPR001245;IPR008266;IPR020635;IPR016249;","PF00028;PF07714;","HSP90AB1;KYNU;GRB2;SYNCRIP;CTNND1;PKM;CASP3;PTK2;BAG6;SOS1;GAB1;HNRNPD;FAU;SHC1;ZCCHC8;EGFR;ZBTB48;CBL;NOTCH2NL;SGTB;STAT3;MAPK1;PLCG1;ICE2;IKBKG;MAPK3;HIST1H3A;SORT1;CRK;LRRK1;TXNL4A;","KYNU;NRTN;PDLIM7;GRB2;SYNCRIP;SRC;AIP;PTK2;BAG6;HNRNPD;SHC1;FRS2;ZCCHC8;EGFR;ZBTB48;MCRS1;RET;HSP90AA1;PTPRF;CBL;NOTCH2NL;SGTB;STAT3;NOTCH3;MAPK1;DOK1;CBLC;DOK2;GRB10;ICE2;PLCG1;DOK4;DOK5;NTRK1;DOK6;MAPK3;HIST1H3A;IKBKG;SORT1;GFRA1;CRK;GRB7;TXNL4A;","IKBKG;STAT3;FAU;CBL;NOTCH2NL;SHC1;PTK2;MAPK3;PLCG1;GRB2;MAPK1;LRRK1;SOS1;GAB1;EGFR;CTNND1;CRK;CASP3;GFRA1;DOK2;FRS2;CBL;GRB2;DOK3;DOK5;DOK4;PRKAR2A;DOK6;PTPN11;PDLIM7;GFRA4;PSPN;AKAP5;PIK3R1;SHC3;DOK1;GRB10;NRTN;GRB2;HIST1H4A;GAB1;GRB7;MAPK8;MAPK14;CBLB;SRC;GDNF;PTPRF;MCRS1;CBLC;HSP90AA1;NOTCH3;AIP;MAPK9;GOLGA5","1155.1","0.9","0.68","E","dorsal root ganglion;superior cervical ganglion;medulla oblongata;uterus corpus;appendix;ciliary ganglion;pons;atrioventricular node;trigeminal ganglion;parietal lobe;","2017-06-22 00:00:00"
"RNF216","7","Q9NWF9","metal ion binding ; ubiquitin protein ligase activity","R-HSA-936440;",NULL,"IPR002867;",,"RNF11;RNF216;","XPO1;BECN1;TIRAP;TLR3;UBE2L6;TLR4;RNF216;NXF1;TLR5;UBE2H;UBE2L3;UBE2C;BRCA1;TLR9;MOV10;RIPK1;TICAM1;RNF11;TRAF3;KIR2DL4;","RNF11;UBE2L6;AGFG1;TLR9;UBE2L3;TLR4;TLR5;RIPK1;TLR3;UBE2H;UBE2C;TIRAP;TICAM1;KIR2DL4;TRAF3;BRCA1;ASNS;PPBP;DDX39B;SPRN;NBEA;MIF;DFFA;WIPI2;PRG2;SLC25A6","131.91","0.12","0.09",NULL,NULL,"2017-06-22 00:00:00"
"ROM1","11","Q03395",,,NULL,"IPR000830;IPR018498;IPR018499;IPR008952;","PF00335;","PHGDH;","PHGDH;","ITSN1;PHGDH;EPN1;PRPH2;PHGDH","133.61","0.41","0.23","N","dorsal root ganglion;superior cervical ganglion;ciliary ganglion;pons;atrioventricular node;trigeminal ganglion;cingulate cortex;","2017-06-22 00:00:00"
"RP1L1","8","Q8IWN7",,,NULL,"IPR003533;","PF03607;","GRB2;FYN;NCK1;ARL3;","SOX4;","NCK1;FYN;GRB2;ARL3","19576.1","0.09",NULL,"N",NULL,"2017-06-22 00:00:00"
"SCN1A","2","P35498","voltage-gated sodium channel activity","R-HSA-445095;R-HSA-5576892;",NULL,"IPR005821;IPR008051;IPR001696;IPR010526;IPR024583;","PF00520;PF06512;PF11933;","NEDD8;ESR2;","PSEN1;SNTA1;","YWHAH;RPS26;RPL21;RPL9;CUL4A;UBC;RPL29;RPL7A;RPL27;RPL24;SF3B3;EMG1;RPL8;EEF1A2;RPS6;RPS20;CUL4B;RPL10A;RPL31;RPL11;SSRP1;RPS15A;H2AFX;RPL18;HARS;RPL6;MCM4;TARS;RPL23;RPS7;RPS3;YWHAG;NAE1;ARHGEF4;KARS;PIAS1;EEF1A1;RPS16;SUMO3;RPS23;RPS4X;DDB1;EEF2;RPL26;PIAS2;RPL35A;RPS8;RPL30;MCM5;CUL1;EIF2A;ERCC4;CUL2;NEDD8;RPL13;RPS11;RPL7;CUL3;CUL5;RPS14;RPL12;PRPF3;PCNA;HIST2H2BE;UBE2M;RPL5;RPS13;RPS2;FGF12;SNTA1;PSEN1","148.17","0.26","0.21","E","amygdala;occipital lobe;medulla oblongata;thalamus;subthalamic nucleus;temporal lobe;prefrontal cortex;globus pallidus;pons;cingulate cortex;parietal lobe;","2017-06-22 00:00:00"
"SCN2A","2","Q99250","voltage-gated sodium channel activity","R-HSA-445095;R-HSA-5576892;",NULL,"IPR005821;IPR000048;IPR001696;IPR010526;IPR024583;","PF00520;PF06512;PF11933;","RNF130;MPP3;ARHGEF10L;",NULL,"MPP3;RNF130;ARHGEF10L;SCN4B;ANK3;FGF13;CALM1;CALM1;FGF13;DLG3","693.68","0.65","0.34","E","amygdala;medulla oblongata;occipital lobe;cerebellum peduncles;temporal lobe;pons;subthalamic nucleus;fetal brain;prefrontal cortex;globus pallidus;ciliary ganglion;parietal lobe;cingulate cortex;cerebellum;","2017-06-22 00:00:00"
"SCN5A","3","Q14524","ankyrin binding ; calmodulin binding ; enzyme binding ; fibroblast growth factor binding ; ion channel binding ; nitric-oxide synthase binding ; protein domain specific binding ; protein kinase binding ; scaffold protein binding ; ubiquitin protein ligase binding ; voltage-gated sodium channel activity ; voltage-gated sodium channel activity involved in AV node cell action potential ; voltage-gated sodium channel activity involved in bundle of His cell action potential ; voltage-gated sodium channel activity involved in cardiac muscle cell action potential ; voltage-gated sodium channel activity involved in Purkinje myocyte action potential ; voltage-gated sodium channel activity involved in SA node cell action potential","R-HSA-445095;R-HSA-5576892;",NULL,"IPR005821;IPR008053;IPR001696;IPR010526;IPR024583;","PF00520;PF06512;PF11933;","PRMT3;PRMT1;PTPN3;RGS2;ALB;PRMT5;CAMK2D;CALM1;SNTG2;","CAV3;ALB;WWP2;NEDD4;SNTB1;SNTB2;CDK2;CALM1;SNTA1;","CALM1;CAMK2D;PRMT3;PRMT5;RGS2;SNTG2;PTPN3;PRMT1;FGF13;CALM1;FGF13;ANK3;FGF12;SNTA1;NEDD4L;ZNF232;CFB;APOE;TIAM1;APOC3;GJC2;ATM;KRT5;KLK3;KRT14;OR8D2;SLA2;PPBP;PCDH1;ITIH1;CACNA1I;ITGA2;DGKG;LAT;KRT16;CABLES1;KRT13;CTSL;OBSL1;KCNMA1;TSC22D1;TTR;PLA2G4F;ST13;SETX;TRAPPC11;CFD;TTN;SLC25A13;CLCA2;ITGB5;AHSG;PRSS3;AGA;ALB;KIAA0232;LDB3;AP1M1;SACS;OR3A2;DMD;FGA;PF4V1;PCED1B;APOA4;CRB1;PHC3;FN1;NCOA3;EXOC6;PLAG1;KRT10;RANBP3;SGOL2;SPAST;ADRA1B;MYL4;RYR2;RLF;HPX;APOA2;JARID2;CST3;CDCP1;NLRC4;CTAGE5;CNOT1;MYLK3;F7;THRAP3;APOA1;SPATA31A7;PDZRN4;IGDCC4;NPHS1;OR2T6;DICER1;F2;CEP44;AMPD3;APOC2;SH3BP5;IGHG1;TTPAL;CROT;ZNF292;HP;CFH;TLN2;PDE4B;PALB2;CDC45;RANBP2;KRT6B;FAM71E2;SCAF1;AP4E1;QTRTD1;CAMTA1;KRT9;GABBR1;DERL1;APOC1;GSN;DCD;PEG3;KIAA1551;DDB1;SERPING1;KRT1;SLC1A5;KRT6A;CHKB;SORBS3;GFAP;GRAP2;SLC9A8;CBL;SNTB1;SNTB2;DLG1;DLG3;INADL;RGS3;DLG2;DLG4;NEDD4;WWP2;ALB;CAV3;CDK2;CALM1;FGF12","1128.17","0.27","0.26","E","superior cervical ganglion;heart;","2017-06-22 00:00:00"
